,Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Rank,Date,Platform
21,Torbjörn,DEFENSE,1.81,55.27,3.48,10.44,Bronze,2020-05-24 11:55:05.315769,PC
22,Zenyatta,SUPPORT,1.72,50.11,2.69,9.48,Bronze,2020-05-24 11:55:05.315769,PC
23,Brigitte,SUPPORT,1.71,51.74,1.60,8.56,Bronze,2020-05-24 11:55:05.315769,PC
24,Hanzo,DEFENSE,1.53,43.93,2.02,9.64,Bronze,2020-05-24 11:55:05.315769,PC
25,Doomfist,OFFENSE,1.26,50.67,1.61,8.63,Bronze,2020-05-24 11:55:05.315769,PC
26,Mei,DEFENSE,1.10,44.53,2.06,7.56,Bronze,2020-05-24 11:55:05.315769,PC
27,Symmetra,SUPPORT,1.06,56.58,2.81,9.60,Bronze,2020-05-24 11:55:05.315769,PC
28,Tracer,OFFENSE,1.04,44.33,2.06,6.63,Bronze,2020-05-24 11:55:05.315769,PC
29,Bastion,DEFENSE,0.88,50.77,2.58,17.23,Bronze,2020-05-24 11:55:05.315769,PC
30,Widowmaker,DEFENSE,0.87,43.24,1.78,4.99,Bronze,2020-05-24 11:55:05.315769,PC
31,Sombra,OFFENSE,0.68,42.83,3.13,10.60,Bronze,2020-05-24 11:55:05.315769,PC
0,Reinhardt,TANK,10.68,51.15,2.45,6.97,Silver,2020-05-24 11:55:53.912738,PC
1,Moira,SUPPORT,9.91,48.64,2.37,10.10,Silver,2020-05-24 11:55:53.912738,PC
2,Ana,SUPPORT,8.38,47.82,2.19,8.28,Silver,2020-05-24 11:55:53.912738,PC
3,Mercy,SUPPORT,7.70,49.35,2.57,2.15,Silver,2020-05-24 11:55:53.912738,PC
4,Zarya,TANK,6.32,50.62,2.27,9.63,Silver,2020-05-24 11:55:53.912738,PC
5,Lúcio,SUPPORT,4.13,51.17,2.03,11.66,Silver,2020-05-24 11:55:53.912738,PC
6,Junkrat,DEFENSE,3.92,50.20,2.50,12.09,Silver,2020-05-24 11:55:53.912738,PC
7,McCree,OFFENSE,3.69,45.91,1.72,8.11,Silver,2020-05-24 11:55:53.912738,PC
