,Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Rank,Date,Platform
2,Mercy,SUPPORT,8.53,50.93,2.42,2.28,All,2020-05-24 12:02:08.275497,PSN
3,Ana,SUPPORT,6.17,48.05,2.22,8.99,All,2020-05-24 12:02:08.275497,PSN
4,Lúcio,SUPPORT,6.06,53.10,2.00,13.32,All,2020-05-24 12:02:08.275497,PSN
5,Zarya,TANK,5.91,51.92,2.52,12.99,All,2020-05-24 12:02:08.275497,PSN
6,Ashe,OFFENSE,4.99,52.50,2.21,11.57,All,2020-05-24 12:02:08.275497,PSN
7,Roadhog,TANK,4.27,49.68,1.73,11.14,All,2020-05-24 12:02:08.275497,PSN
8,McCree,OFFENSE,3.52,48.38,1.61,9.51,All,2020-05-24 12:02:08.275497,PSN
9,D.Va,TANK,3.48,49.97,2.09,9.08,All,2020-05-24 12:02:08.275497,PSN
10,Sigma,TANK,3.32,51.20,2.38,13.36,All,2020-05-24 12:02:08.275497,PSN
11,Soldier: 76,OFFENSE,2.95,49.42,2.00,11.21,All,2020-05-24 12:02:08.275497,PSN
12,Junkrat,DEFENSE,2.88,51.89,2.63,12.34,All,2020-05-24 12:02:08.275497,PSN
13,Wrecking Ball,TANK,2.51,50.16,1.67,3.60,All,2020-05-24 12:02:08.275497,PSN
14,Orisa,TANK,2.48,51.02,1.93,8.03,All,2020-05-24 12:02:08.275497,PSN
15,Reaper,OFFENSE,2.14,50.25,1.74,14.51,All,2020-05-24 12:02:08.275497,PSN
16,Echo,OFFENSE,2.03,48.91,2.12,8.46,All,2020-05-24 12:02:08.275497,PSN
17,Pharah,OFFENSE,1.98,52.24,2.03,16.68,All,2020-05-24 12:02:08.275497,PSN
18,Genji,OFFENSE,1.96,48.38,1.84,10.52,All,2020-05-24 12:02:08.275497,PSN
19,Brigitte,SUPPORT,1.79,56.47,1.62,8.23,All,2020-05-24 12:02:08.275497,PSN
20,Baptiste,SUPPORT,1.59,45.91,2.61,11.67,All,2020-05-24 12:02:08.275497,PSN
21,Tracer,OFFENSE,1.52,48.94,1.23,8.85,All,2020-05-24 12:02:08.275497,PSN
22,Zenyatta,SUPPORT,1.36,51.81,1.75,9.58,All,2020-05-24 12:02:08.275497,PSN
23,Winston,TANK,1.25,47.70,1.56,5.79,All,2020-05-24 12:02:08.275497,PSN
24,Torbjörn,DEFENSE,1.19,56.63,2.71,8.79,All,2020-05-24 12:02:08.275497,PSN
25,Doomfist,OFFENSE,1.12,51.64,1.79,7.44,All,2020-05-24 12:02:08.275497,PSN
26,Hanzo,DEFENSE,1.05,46.65,2.10,10.78,All,2020-05-24 12:02:08.275497,PSN
27,Widowmaker,DEFENSE,0.90,48.87,1.43,7.29,All,2020-05-24 12:02:08.275497,PSN
28,Sombra,OFFENSE,0.87,46.69,1.75,14.27,All,2020-05-24 12:02:08.275497,PSN
29,Symmetra,SUPPORT,0.74,57.27,2.88,9.83,All,2020-05-24 12:02:08.275497,PSN
30,Mei,DEFENSE,0.73,47.14,2.26,7.59,All,2020-05-24 12:02:08.275497,PSN
31,Bastion,DEFENSE,0.41,53.99,2.46,16.07,All,2020-05-24 12:02:08.275497,PSN
0,Moira,SUPPORT,9.05,47.87,2.02,9.04,Bronze,2020-05-24 12:02:51.712087,PSN
1,Mercy,SUPPORT,8.67,45.40,2.71,1.13,Bronze,2020-05-24 12:02:51.712087,PSN
2,Lúcio,SUPPORT,6.83,49.95,2.19,11.46,Bronze,2020-05-24 12:02:51.712087,PSN
3,D.Va,TANK,6.77,47.54,1.93,7.56,Bronze,2020-05-24 12:02:51.712087,PSN
4,Reinhardt,TANK,6.61,46.87,2.27,5.40,Bronze,2020-05-24 12:02:51.712087,PSN
5,Ana,SUPPORT,5.32,43.05,1.96,5.75,Bronze,2020-05-24 12:02:51.712087,PSN
6,Orisa,TANK,4.99,48.05,2.61,6.48,Bronze,2020-05-24 12:02:51.712087,PSN
7,Junkrat,DEFENSE,4.49,46.58,2.47,11.46,Bronze,2020-05-24 12:02:51.712087,PSN
8,Soldier: 76,OFFENSE,3.79,47.45,2.07,11.28,Bronze,2020-05-24 12:02:51.712087,PSN
9,Sigma,TANK,3.75,48.94,1.57,8.33,Bronze,2020-05-24 12:02:51.712087,PSN
10,Ashe,OFFENSE,3.57,47.57,2.19,8.43,Bronze,2020-05-24 12:02:51.712087,PSN
11,Zarya,TANK,3.47,46.76,1.50,7.95,Bronze,2020-05-24 12:02:51.712087,PSN
12,Reaper,OFFENSE,3.25,45.33,1.20,14.10,Bronze,2020-05-24 12:02:51.712087,PSN
13,Brigitte,SUPPORT,2.87,51.04,1.59,7.80,Bronze,2020-05-24 12:02:51.712087,PSN
14,Echo,OFFENSE,2.53,45.14,1.80,6.44,Bronze,2020-05-24 12:02:51.712087,PSN
15,Roadhog,TANK,2.26,40.24,2.59,6.71,Bronze,2020-05-24 12:02:51.712087,PSN
16,Pharah,OFFENSE,1.91,46.21,1.02,8.72,Bronze,2020-05-24 12:02:51.712087,PSN
17,McCree,OFFENSE,1.90,46.90,0.68,8.30,Bronze,2020-05-24 12:02:51.712087,PSN
18,Baptiste,SUPPORT,1.77,41.51,2.21,7.12,Bronze,2020-05-24 12:02:51.712087,PSN
19,Mei,DEFENSE,1.65,49.40,1.58,7.98,Bronze,2020-05-24 12:02:51.712087,PSN
20,Wrecking Ball,TANK,1.60,38.68,0.82,2.48,Bronze,2020-05-24 12:02:51.712087,PSN
21,Zenyatta,SUPPORT,1.55,43.40,1.26,8.22,Bronze,2020-05-24 12:02:51.712087,PSN
22,Symmetra,SUPPORT,1.53,59.21,2.98,8.44,Bronze,2020-05-24 12:02:51.712087,PSN
23,Sombra,OFFENSE,1.38,40.58,2.36,8.99,Bronze,2020-05-24 12:02:51.712087,PSN
24,Tracer,OFFENSE,1.36,40.29,0.96,6.26,Bronze,2020-05-24 12:02:51.712087,PSN
25,Genji,OFFENSE,1.12,42.86,1.75,5.52,Bronze,2020-05-24 12:02:51.712087,PSN
26,Winston,TANK,1.11,41.67,1.18,3.10,Bronze,2020-05-24 12:02:51.712087,PSN
27,Bastion,DEFENSE,1.11,53.99,4.12,15.06,Bronze,2020-05-24 12:02:51.712087,PSN
28,Torbjörn,DEFENSE,1.10,49.70,2.37,9.44,Bronze,2020-05-24 12:02:51.712087,PSN
29,Hanzo,DEFENSE,0.98,47.62,2.65,7.59,Bronze,2020-05-24 12:02:51.712087,PSN
30,Widowmaker,DEFENSE,0.95,35.21,2.07,3.86,Bronze,2020-05-24 12:02:51.712087,PSN
31,Doomfist,OFFENSE,0.76,43.36,2.59,5.54,Bronze,2020-05-24 12:02:51.712087,PSN
0,Moira,SUPPORT,10.20,49.21,2.43,9.90,Silver,2020-05-24 12:03:35.180973,PSN
1,Reinhardt,TANK,9.39,50.06,2.09,6.31,Silver,2020-05-24 12:03:35.180973,PSN
2,Mercy,SUPPORT,7.75,47.34,2.42,1.72,Silver,2020-05-24 12:03:35.180973,PSN
3,Lúcio,SUPPORT,6.51,51.11,2.08,12.33,Silver,2020-05-24 12:03:35.180973,PSN
4,D.Va,TANK,5.43,46.31,1.92,8.14,Silver,2020-05-24 12:03:35.180973,PSN
5,Zarya,TANK,4.91,48.66,2.23,9.31,Silver,2020-05-24 12:03:35.180973,PSN
6,Ana,SUPPORT,4.82,44.05,2.41,7.42,Silver,2020-05-24 12:03:35.180973,PSN
7,Junkrat,DEFENSE,4.72,49.35,2.15,12.06,Silver,2020-05-24 12:03:35.180973,PSN
8,Orisa,TANK,3.65,47.52,2.44,6.63,Silver,2020-05-24 12:03:35.180973,PSN
9,Sigma,TANK,3.47,50.45,3.08,10.93,Silver,2020-05-24 12:03:35.180973,PSN
10,Ashe,OFFENSE,3.40,47.89,1.65,8.14,Silver,2020-05-24 12:03:35.180973,PSN
11,Reaper,OFFENSE,3.39,48.62,1.94,14.23,Silver,2020-05-24 12:03:35.180973,PSN
12,Soldier: 76,OFFENSE,3.26,46.60,1.51,10.97,Silver,2020-05-24 12:03:35.180973,PSN
13,Roadhog,TANK,3.24,46.70,1.95,8.87,Silver,2020-05-24 12:03:35.180973,PSN
14,McCree,OFFENSE,2.67,46.11,1.85,8.22,Silver,2020-05-24 12:03:35.180973,PSN
15,Echo,OFFENSE,1.94,44.06,2.18,6.91,Silver,2020-05-24 12:03:35.180973,PSN
16,Wrecking Ball,TANK,1.92,44.94,1.35,3.16,Silver,2020-05-24 12:03:35.180973,PSN
17,Pharah,OFFENSE,1.74,45.50,2.12,11.50,Silver,2020-05-24 12:03:35.180973,PSN
18,Brigitte,SUPPORT,1.72,54.52,1.04,8.18,Silver,2020-05-24 12:03:35.180973,PSN
19,Genji,OFFENSE,1.68,47.59,1.79,7.69,Silver,2020-05-24 12:03:35.180973,PSN
20,Zenyatta,SUPPORT,1.57,49.15,2.45,9.54,Silver,2020-05-24 12:03:35.180973,PSN
21,Winston,TANK,1.55,47.66,1.94,4.44,Silver,2020-05-24 12:03:35.180973,PSN
22,Torbjörn,DEFENSE,1.52,57.33,2.52,10.50,Silver,2020-05-24 12:03:35.180973,PSN
23,Baptiste,SUPPORT,1.51,40.22,2.36,10.01,Silver,2020-05-24 12:03:35.180973,PSN
24,Tracer,OFFENSE,1.30,46.19,1.59,7.64,Silver,2020-05-24 12:03:35.180973,PSN
25,Hanzo,DEFENSE,1.17,45.75,2.34,9.82,Silver,2020-05-24 12:03:35.180973,PSN
26,Mei,DEFENSE,1.13,46.43,1.81,8.32,Silver,2020-05-24 12:03:35.180973,PSN
27,Symmetra,SUPPORT,1.05,60.05,2.61,10.18,Silver,2020-05-24 12:03:35.180973,PSN
28,Sombra,OFFENSE,1.00,43.04,2.60,12.66,Silver,2020-05-24 12:03:35.180973,PSN
29,Doomfist,OFFENSE,0.88,50.96,2.03,5.97,Silver,2020-05-24 12:03:35.180973,PSN
30,Bastion,DEFENSE,0.84,52.52,2.30,15.69,Silver,2020-05-24 12:03:35.180973,PSN
31,Widowmaker,DEFENSE,0.68,46.49,2.62,4.59,Silver,2020-05-24 12:03:35.180973,PSN
0,Reinhardt,TANK,11.10,50.23,2.54,6.93,Gold,2020-05-24 12:04:19.077353,PSN
1,Moira,SUPPORT,9.68,49.06,2.42,10.30,Gold,2020-05-24 12:04:19.077353,PSN
2,Mercy,SUPPORT,7.69,48.94,2.59,2.02,Gold,2020-05-24 12:04:19.077353,PSN
3,Ana,SUPPORT,6.16,45.84,2.17,8.46,Gold,2020-05-24 12:04:19.077353,PSN
4,Lúcio,SUPPORT,6.06,52.26,2.03,13.27,Gold,2020-05-24 12:04:19.077353,PSN
5,Zarya,TANK,5.82,49.56,2.46,11.67,Gold,2020-05-24 12:04:19.077353,PSN
6,D.Va,TANK,4.30,49.96,2.40,8.99,Gold,2020-05-24 12:04:19.077353,PSN
7,Ashe,OFFENSE,4.22,50.94,1.92,9.40,Gold,2020-05-24 12:04:19.077353,PSN
8,Junkrat,DEFENSE,3.77,49.52,2.44,12.61,Gold,2020-05-24 12:04:19.077353,PSN
9,Roadhog,TANK,3.53,46.07,1.57,9.73,Gold,2020-05-24 12:04:19.077353,PSN
10,Sigma,TANK,3.28,49.94,2.41,12.64,Gold,2020-05-24 12:04:19.077353,PSN
11,Soldier: 76,OFFENSE,3.10,48.22,2.14,10.90,Gold,2020-05-24 12:04:19.077353,PSN
12,McCree,OFFENSE,2.88,45.23,1.65,8.40,Gold,2020-05-24 12:04:19.077353,PSN
13,Orisa,TANK,2.61,49.50,2.10,7.78,Gold,2020-05-24 12:04:19.077353,PSN
14,Reaper,OFFENSE,2.57,49.11,1.91,14.58,Gold,2020-05-24 12:04:19.077353,PSN
15,Wrecking Ball,TANK,2.56,48.74,1.86,3.40,Gold,2020-05-24 12:04:19.077353,PSN
16,Echo,OFFENSE,2.05,47.33,2.01,7.99,Gold,2020-05-24 12:04:19.077353,PSN
17,Genji,OFFENSE,2.01,47.35,2.07,9.88,Gold,2020-05-24 12:04:19.077353,PSN
18,Pharah,OFFENSE,1.81,51.44,1.76,14.91,Gold,2020-05-24 12:04:19.077353,PSN
19,Zenyatta,SUPPORT,1.75,51.08,1.68,9.79,Gold,2020-05-24 12:04:19.077353,PSN
20,Baptiste,SUPPORT,1.75,44.33,2.30,11.00,Gold,2020-05-24 12:04:19.077353,PSN
21,Brigitte,SUPPORT,1.68,55.45,1.75,8.93,Gold,2020-05-24 12:04:19.077353,PSN
22,Winston,TANK,1.43,47.59,1.87,5.40,Gold,2020-05-24 12:04:19.077353,PSN
23,Tracer,OFFENSE,1.40,46.39,1.47,8.33,Gold,2020-05-24 12:04:19.077353,PSN
24,Torbjörn,DEFENSE,1.32,55.96,2.82,8.99,Gold,2020-05-24 12:04:19.077353,PSN
25,Hanzo,DEFENSE,0.98,44.52,2.07,9.60,Gold,2020-05-24 12:04:19.077353,PSN
26,Doomfist,OFFENSE,0.93,49.16,1.74,7.32,Gold,2020-05-24 12:04:19.077353,PSN
27,Symmetra,SUPPORT,0.83,55.63,3.11,9.83,Gold,2020-05-24 12:04:19.077353,PSN
28,Sombra,OFFENSE,0.83,44.55,1.43,13.94,Gold,2020-05-24 12:04:19.077353,PSN
29,Mei,DEFENSE,0.80,46.59,2.42,8.17,Gold,2020-05-24 12:04:19.077353,PSN
30,Widowmaker,DEFENSE,0.60,48.44,1.32,6.07,Gold,2020-05-24 12:04:19.077353,PSN
31,Bastion,DEFENSE,0.51,51.54,2.82,16.06,Gold,2020-05-24 12:04:19.077353,PSN
0,Reinhardt,TANK,11.18,51.48,2.54,7.48,Platinum,2020-05-24 12:05:02.950351,PSN
1,Moira,SUPPORT,9.45,50.12,2.45,10.65,Platinum,2020-05-24 12:05:02.950351,PSN
2,Mercy,SUPPORT,8.19,51.03,2.53,2.40,Platinum,2020-05-24 12:05:02.950351,PSN
3,Ana,SUPPORT,6.77,48.38,2.37,9.37,Platinum,2020-05-24 12:05:02.950351,PSN
4,Lúcio,SUPPORT,6.28,53.10,1.94,13.57,Platinum,2020-05-24 12:05:02.950351,PSN
5,Zarya,TANK,6.18,52.18,2.58,13.40,Platinum,2020-05-24 12:05:02.950351,PSN
6,Ashe,OFFENSE,5.05,52.67,2.36,11.32,Platinum,2020-05-24 12:05:02.950351,PSN
7,Roadhog,TANK,4.36,49.49,1.80,11.83,Platinum,2020-05-24 12:05:02.950351,PSN
8,McCree,OFFENSE,3.73,49.01,1.65,9.67,Platinum,2020-05-24 12:05:02.950351,PSN
9,Sigma,TANK,3.23,51.41,2.46,14.31,Platinum,2020-05-24 12:05:02.950351,PSN
10,D.Va,TANK,3.16,50.27,1.96,9.58,Platinum,2020-05-24 12:05:02.950351,PSN
11,Soldier: 76,OFFENSE,2.96,48.82,1.98,11.17,Platinum,2020-05-24 12:05:02.950351,PSN
12,Junkrat,DEFENSE,2.68,53.80,3.07,12.56,Platinum,2020-05-24 12:05:02.950351,PSN
13,Wrecking Ball,TANK,2.34,50.25,1.74,3.68,Platinum,2020-05-24 12:05:02.950351,PSN
14,Genji,OFFENSE,2.23,49.05,1.75,10.90,Platinum,2020-05-24 12:05:02.950351,PSN
15,Reaper,OFFENSE,2.11,50.84,1.61,14.68,Platinum,2020-05-24 12:05:02.950351,PSN
16,Echo,OFFENSE,2.10,49.30,2.33,8.77,Platinum,2020-05-24 12:05:02.950351,PSN
17,Pharah,OFFENSE,1.99,52.23,2.36,18.04,Platinum,2020-05-24 12:05:02.950351,PSN
18,Orisa,TANK,1.89,51.55,1.71,8.49,Platinum,2020-05-24 12:05:02.950351,PSN
19,Baptiste,SUPPORT,1.67,46.16,3.12,12.47,Platinum,2020-05-24 12:05:02.950351,PSN
20,Brigitte,SUPPORT,1.63,56.86,1.69,8.68,Platinum,2020-05-24 12:05:02.950351,PSN
21,Tracer,OFFENSE,1.57,48.78,1.09,8.98,Platinum,2020-05-24 12:05:02.950351,PSN
22,Zenyatta,SUPPORT,1.33,52.09,1.81,9.86,Platinum,2020-05-24 12:05:02.950351,PSN
23,Doomfist,OFFENSE,1.29,52.36,1.75,7.79,Platinum,2020-05-24 12:05:02.950351,PSN
24,Winston,TANK,1.22,48.32,1.43,6.42,Platinum,2020-05-24 12:05:02.950351,PSN
25,Torbjörn,DEFENSE,1.10,57.76,3.00,8.75,Platinum,2020-05-24 12:05:02.950351,PSN
26,Hanzo,DEFENSE,1.06,47.74,1.91,11.44,Platinum,2020-05-24 12:05:02.950351,PSN
27,Widowmaker,DEFENSE,0.89,48.38,1.46,7.75,Platinum,2020-05-24 12:05:02.950351,PSN
28,Sombra,OFFENSE,0.76,46.33,1.79,14.95,Platinum,2020-05-24 12:05:02.950351,PSN
29,Mei,DEFENSE,0.67,47.56,2.75,7.50,Platinum,2020-05-24 12:05:02.950351,PSN
30,Symmetra,SUPPORT,0.65,58.36,2.92,10.32,Platinum,2020-05-24 12:05:02.950351,PSN
31,Bastion,DEFENSE,0.28,55.76,2.05,16.83,Platinum,2020-05-24 12:05:02.950351,PSN
0,Reinhardt,TANK,12.25,53.37,2.62,7.62,Diamond,2020-05-24 12:05:46.713518,PSN
1,Mercy,SUPPORT,8.96,53.63,2.25,2.63,Diamond,2020-05-24 12:05:46.713518,PSN
2,Moira,SUPPORT,8.33,52.16,2.28,10.59,Diamond,2020-05-24 12:05:46.713518,PSN
3,Zarya,TANK,6.54,55.08,2.84,14.73,Diamond,2020-05-24 12:05:46.713518,PSN
4,Ana,SUPPORT,6.21,51.32,2.12,9.82,Diamond,2020-05-24 12:05:46.713518,PSN
5,Ashe,OFFENSE,6.08,54.54,2.46,13.42,Diamond,2020-05-24 12:05:46.713518,PSN
6,Lúcio,SUPPORT,5.75,55.59,2.12,13.80,Diamond,2020-05-24 12:05:46.713518,PSN
7,Roadhog,TANK,5.26,53.11,1.76,12.36,Diamond,2020-05-24 12:05:46.713518,PSN
8,McCree,OFFENSE,4.22,49.19,1.66,10.25,Diamond,2020-05-24 12:05:46.713518,PSN
9,Sigma,TANK,3.27,51.63,2.25,14.26,Diamond,2020-05-24 12:05:46.713518,PSN
10,Soldier: 76,OFFENSE,2.74,53.27,2.22,11.89,Diamond,2020-05-24 12:05:46.713518,PSN
11,Wrecking Ball,TANK,2.72,52.67,1.48,3.91,Diamond,2020-05-24 12:05:46.713518,PSN
12,D.Va,TANK,2.39,53.20,2.19,9.75,Diamond,2020-05-24 12:05:46.713518,PSN
13,Pharah,OFFENSE,2.14,55.35,2.09,18.78,Diamond,2020-05-24 12:05:46.713518,PSN
14,Orisa,TANK,2.10,53.91,1.67,9.10,Diamond,2020-05-24 12:05:46.713518,PSN
15,Echo,OFFENSE,2.06,51.60,1.96,9.25,Diamond,2020-05-24 12:05:46.713518,PSN
16,Genji,OFFENSE,1.96,48.77,1.67,11.79,Diamond,2020-05-24 12:05:46.713518,PSN
17,Brigitte,SUPPORT,1.80,59.12,1.31,8.11,Diamond,2020-05-24 12:05:46.713518,PSN
18,Junkrat,DEFENSE,1.74,56.60,2.46,11.98,Diamond,2020-05-24 12:05:46.713518,PSN
19,Tracer,OFFENSE,1.58,52.58,1.21,9.72,Diamond,2020-05-24 12:05:46.713518,PSN
20,Reaper,OFFENSE,1.45,53.30,1.85,14.63,Diamond,2020-05-24 12:05:46.713518,PSN
21,Baptiste,SUPPORT,1.44,50.34,2.54,12.40,Diamond,2020-05-24 12:05:46.713518,PSN
22,Doomfist,OFFENSE,1.28,53.28,1.85,7.52,Diamond,2020-05-24 12:05:46.713518,PSN
23,Widowmaker,DEFENSE,1.16,49.75,1.27,7.48,Diamond,2020-05-24 12:05:46.713518,PSN
24,Winston,TANK,1.08,46.77,1.01,6.55,Diamond,2020-05-24 12:05:46.713518,PSN
25,Hanzo,DEFENSE,1.06,47.51,2.34,11.57,Diamond,2020-05-24 12:05:46.713518,PSN
26,Torbjörn,DEFENSE,1.06,56.21,2.34,8.10,Diamond,2020-05-24 12:05:46.713518,PSN
27,Zenyatta,SUPPORT,0.98,56.59,1.63,9.43,Diamond,2020-05-24 12:05:46.713518,PSN
28,Sombra,OFFENSE,0.97,50.57,1.85,15.54,Diamond,2020-05-24 12:05:46.713518,PSN
29,Symmetra,SUPPORT,0.65,55.76,2.54,9.63,Diamond,2020-05-24 12:05:46.713518,PSN
30,Mei,DEFENSE,0.53,47.29,1.46,6.73,Diamond,2020-05-24 12:05:46.713518,PSN
31,Bastion,DEFENSE,0.24,62.26,2.16,16.65,Diamond,2020-05-24 12:05:46.713518,PSN
0,Mercy,SUPPORT,11.80,52.47,1.96,2.40,Master,2020-05-24 12:06:30.358416,PSN
1,Reinhardt,TANK,11.51,54.91,2.29,6.42,Master,2020-05-24 12:06:30.358416,PSN
2,Moira,SUPPORT,8.37,51.95,1.98,9.27,Master,2020-05-24 12:06:30.358416,PSN
3,Ashe,OFFENSE,6.95,53.51,2.36,14.77,Master,2020-05-24 12:06:30.358416,PSN
4,Zarya,TANK,5.62,53.78,2.15,14.76,Master,2020-05-24 12:06:30.358416,PSN
5,Ana,SUPPORT,5.35,50.53,1.61,8.75,Master,2020-05-24 12:06:30.358416,PSN
6,Roadhog,TANK,5.29,53.36,1.51,10.66,Master,2020-05-24 12:06:30.358416,PSN
7,Lúcio,SUPPORT,5.08,53.10,1.93,12.34,Master,2020-05-24 12:06:30.358416,PSN
8,McCree,OFFENSE,4.28,52.66,1.29,10.24,Master,2020-05-24 12:06:30.358416,PSN
9,Orisa,TANK,3.66,52.90,1.62,7.83,Master,2020-05-24 12:06:30.358416,PSN
10,Sigma,TANK,3.65,54.83,1.74,13.43,Master,2020-05-24 12:06:30.358416,PSN
11,Wrecking Ball,TANK,3.07,51.35,1.27,3.40,Master,2020-05-24 12:06:30.358416,PSN
12,Soldier: 76,OFFENSE,2.51,52.24,1.79,11.24,Master,2020-05-24 12:06:30.358416,PSN
13,Pharah,OFFENSE,2.45,54.83,1.26,16.75,Master,2020-05-24 12:06:30.358416,PSN
14,Brigitte,SUPPORT,2.13,55.53,2.69,5.67,Master,2020-05-24 12:06:30.358416,PSN
15,D.Va,TANK,1.75,50.06,1.29,7.53,Master,2020-05-24 12:06:30.358416,PSN
16,Tracer,OFFENSE,1.68,50.86,1.22,8.88,Master,2020-05-24 12:06:30.358416,PSN
17,Echo,OFFENSE,1.55,51.74,1.32,8.74,Master,2020-05-24 12:06:30.358416,PSN
18,Widowmaker,DEFENSE,1.46,49.93,1.26,8.29,Master,2020-05-24 12:06:30.358416,PSN
19,Sombra,OFFENSE,1.33,51.88,1.39,13.31,Master,2020-05-24 12:06:30.358416,PSN
20,Genji,OFFENSE,1.25,48.16,2.13,11.05,Master,2020-05-24 12:06:30.358416,PSN
21,Baptiste,SUPPORT,1.16,49.46,1.41,10.89,Master,2020-05-24 12:06:30.358416,PSN
22,Junkrat,DEFENSE,1.12,57.66,3.29,10.36,Master,2020-05-24 12:06:30.358416,PSN
23,Torbjörn,DEFENSE,0.98,53.94,2.29,7.55,Master,2020-05-24 12:06:30.358416,PSN
24,Winston,TANK,0.96,48.70,1.91,4.83,Master,2020-05-24 12:06:30.358416,PSN
25,Hanzo,DEFENSE,0.93,46.50,2.21,10.38,Master,2020-05-24 12:06:30.358416,PSN
26,Doomfist,OFFENSE,0.88,51.42,1.40,6.72,Master,2020-05-24 12:06:30.358416,PSN
27,Reaper,OFFENSE,0.83,54.09,0.74,12.57,Master,2020-05-24 12:06:30.358416,PSN
28,Zenyatta,SUPPORT,0.73,53.39,1.12,6.62,Master,2020-05-24 12:06:30.358416,PSN
29,Mei,DEFENSE,0.68,47.24,2.10,5.71,Master,2020-05-24 12:06:30.358416,PSN
30,Symmetra,SUPPORT,0.59,58.63,3.47,7.35,Master,2020-05-24 12:06:30.358416,PSN
31,Bastion,DEFENSE,0.38,52.22,2.70,15.40,Master,2020-05-24 12:06:30.358416,PSN
0,Mercy,SUPPORT,15.23,55.60,2.11,2.45,Grandmaster,2020-05-24 12:07:13.975214,PSN
1,Reinhardt,TANK,8.35,55.61,1.73,6.26,Grandmaster,2020-05-24 12:07:13.975214,PSN
2,Moira,SUPPORT,6.86,52.46,1.72,9.08,Grandmaster,2020-05-24 12:07:13.975214,PSN
3,Ashe,OFFENSE,6.70,55.43,1.44,16.11,Grandmaster,2020-05-24 12:07:13.975214,PSN
4,Roadhog,TANK,6.48,53.19,1.57,10.27,Grandmaster,2020-05-24 12:07:13.975214,PSN
5,Lúcio,SUPPORT,4.96,55.18,1.08,13.44,Grandmaster,2020-05-24 12:07:13.975214,PSN
6,Wrecking Ball,TANK,4.66,56.22,2.07,3.94,Grandmaster,2020-05-24 12:07:13.975214,PSN
7,McCree,OFFENSE,4.63,52.80,0.81,11.57,Grandmaster,2020-05-24 12:07:13.975214,PSN
8,Brigitte,SUPPORT,4.39,56.77,1.10,6.26,Grandmaster,2020-05-24 12:07:13.975214,PSN
9,Orisa,TANK,4.16,56.68,1.67,8.50,Grandmaster,2020-05-24 12:07:13.975214,PSN
10,Zarya,TANK,4.14,56.30,1.55,15.34,Grandmaster,2020-05-24 12:07:13.975214,PSN
11,Ana,SUPPORT,4.08,53.21,1.84,8.38,Grandmaster,2020-05-24 12:07:13.975214,PSN
12,Sigma,TANK,3.88,53.51,1.79,12.55,Grandmaster,2020-05-24 12:07:13.975214,PSN
13,D.Va,TANK,2.27,54.98,0.71,8.23,Grandmaster,2020-05-24 12:07:13.975214,PSN
14,Tracer,OFFENSE,2.22,55.69,0.48,9.86,Grandmaster,2020-05-24 12:07:13.975214,PSN
15,Pharah,OFFENSE,2.09,52.74,1.79,16.65,Grandmaster,2020-05-24 12:07:13.975214,PSN
16,Widowmaker,DEFENSE,1.97,56.28,0.81,9.84,Grandmaster,2020-05-24 12:07:13.975214,PSN
17,Soldier: 76,OFFENSE,1.87,55.20,0.86,11.57,Grandmaster,2020-05-24 12:07:13.975214,PSN
18,Torbjörn,DEFENSE,1.47,58.52,1.82,6.31,Grandmaster,2020-05-24 12:07:13.975214,PSN
19,Echo,OFFENSE,1.38,57.60,3.10,9.59,Grandmaster,2020-05-24 12:07:13.975214,PSN
20,Hanzo,DEFENSE,1.31,47.92,2.04,12.47,Grandmaster,2020-05-24 12:07:13.975214,PSN
21,Junkrat,DEFENSE,0.97,56.98,1.65,9.31,Grandmaster,2020-05-24 12:07:13.975214,PSN
22,Doomfist,OFFENSE,0.94,54.97,2.29,8.26,Grandmaster,2020-05-24 12:07:13.975214,PSN
23,Winston,TANK,0.84,48.72,0.64,5.18,Grandmaster,2020-05-24 12:07:13.975214,PSN
24,Baptiste,SUPPORT,0.71,49.62,0.76,12.21,Grandmaster,2020-05-24 12:07:13.975214,PSN
25,Zenyatta,SUPPORT,0.66,43.09,0.00,5.54,Grandmaster,2020-05-24 12:07:13.975214,PSN
26,Bastion,DEFENSE,0.60,49.11,0.88,12.71,Grandmaster,2020-05-24 12:07:13.975214,PSN
27,Reaper,OFFENSE,0.60,57.14,0.00,11.94,Grandmaster,2020-05-24 12:07:13.975214,PSN
28,Mei,DEFENSE,0.43,46.84,1.25,5.74,Grandmaster,2020-05-24 12:07:13.975214,PSN
29,Sombra,OFFENSE,0.42,41.77,0.00,11.15,Grandmaster,2020-05-24 12:07:13.975214,PSN
30,Genji,OFFENSE,0.41,59.21,1.30,12.84,Grandmaster,2020-05-24 12:07:13.975214,PSN
31,Symmetra,SUPPORT,0.32,48.33,0.00,10.24,Grandmaster,2020-05-24 12:07:13.975214,PSN
0,Reinhardt,TANK,11.68,51.61,2.60,7.14,All,2020-05-24 12:08:38.119908,XBox
1,Moira,SUPPORT,9.55,50.02,2.54,10.13,All,2020-05-24 12:08:38.119908,XBox
2,Mercy,SUPPORT,7.21,50.66,2.64,2.35,All,2020-05-24 12:08:38.119908,XBox
